file,dcom,loc,0.2<dcom,0.2<%dcom,loc<200,%loc<200
\jfreechart-master\src/main/java/org/jfree/chart/axis/ModuloAxis.java,0.459799,215,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/MonthDateFormat.java,0.57391304,98,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberAxis.java,0.4169922,597,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberTick.java,0.77380955,19,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberTickUnit.java,0.60431653,55,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java,0.26635513,157,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/PeriodAxis.java,0.38979962,670,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/axis/PeriodAxisLabelInfo.java,0.50625,158,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/QuarterDateFormat.java,0.5423729,81,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/StandardTickUnitSource.java,0.6722689,39,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/SubCategoryAxis.java,0.41309825,233,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/SymbolAxis.java,0.37885463,423,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/axis/Tick.java,0.58598727,65,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickType.java,0.8888889,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickUnit.java,0.61676645,64,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickUnits.java,0.63076925,72,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickUnitSource.java,0.9189189,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/Timeline.java,0.91729325,11,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/axis/ValueAxis.java,0.4963887,767,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/axis/ValueTick.java,0.6585366,42,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/AbstractBlock.java,0.557265,259,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/Arrangement.java,0.89705884,7,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/Block.java,0.8712871,13,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockBorder.java,0.52803737,101,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockContainer.java,0.503937,126,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockFrame.java,0.85,9,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockParams.java,0.76,30,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/BlockResult.java,0.7916667,15,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/BorderArrangement.java,0.25244617,382,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/block/CenterArrangement.java,0.53333336,140,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/ColorBlock.java,0.5885714,72,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/ColumnArrangement.java,0.41573033,208,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/EmptyBlock.java,0.7027027,33,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/EntityBlockParams.java,0.9259259,4,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/EntityBlockResult.java,0.9056604,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/FlowArrangement.java,0.43065694,234,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/GridArrangement.java,0.40686274,242,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/LabelBlock.java,0.53263706,179,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/LengthConstraintType.java,0.88461536,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/LineBorder.java,0.44859812,118,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/RectangleConstraint.java,0.534375,149,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/block/Size2D.java,0.60402685,59,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartColor.java,0.5302013,70,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartElement.java,0.9166667,4,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartElementVisitor.java,0.9148936,4,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartFactory.java,0.46524063,1000,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/ChartHints.java,0.7311828,25,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartRenderingInfo.java,0.5800866,97,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartTheme.java,0.92156863,4,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartTransferable.java,0.5584416,102,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/ChartUtils.java,0.6269841,235,1,,1,
