file,dcom,lcom
\jfreechart-master\src/main/java/org/jfree/chart/axis/LogAxis.java,0.41450778,565
\jfreechart-master\src/main/java/org/jfree/chart/axis/LogTick.java,0.8055556,14
\jfreechart-master\src/main/java/org/jfree/chart/axis/MarkerAxisBand.java,0.45041323,133
\jfreechart-master\src/main/java/org/jfree/chart/axis/ModuloAxis.java,0.459799,215
\jfreechart-master\src/main/java/org/jfree/chart/axis/MonthDateFormat.java,0.57391304,98
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberAxis.java,0.4169922,597
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberTick.java,0.77380955,19
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberTickUnit.java,0.60431653,55
\jfreechart-master\src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java,0.26635513,157
\jfreechart-master\src/main/java/org/jfree/chart/axis/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/axis/PeriodAxis.java,0.38979962,670
\jfreechart-master\src/main/java/org/jfree/chart/axis/PeriodAxisLabelInfo.java,0.50625,158
\jfreechart-master\src/main/java/org/jfree/chart/axis/QuarterDateFormat.java,0.5423729,81
\jfreechart-master\src/main/java/org/jfree/chart/axis/StandardTickUnitSource.java,0.6722689,39
\jfreechart-master\src/main/java/org/jfree/chart/axis/SubCategoryAxis.java,0.41309825,233
\jfreechart-master\src/main/java/org/jfree/chart/axis/SymbolAxis.java,0.37885463,423
\jfreechart-master\src/main/java/org/jfree/chart/axis/Tick.java,0.58598727,65
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickType.java,0.8888889,5
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickUnit.java,0.61676645,64
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickUnits.java,0.63076925,72
\jfreechart-master\src/main/java/org/jfree/chart/axis/TickUnitSource.java,0.9189189,6
\jfreechart-master\src/main/java/org/jfree/chart/axis/Timeline.java,0.91729325,11
\jfreechart-master\src/main/java/org/jfree/chart/axis/ValueAxis.java,0.4963887,767
\jfreechart-master\src/main/java/org/jfree/chart/axis/ValueTick.java,0.6585366,42
