file,class,type,dit,lcom*,DIT<5,%DIT<5,lcom*<0.2,%lcom*<0.2
\jfreechart\src\main\java\org\jfree\data\xy\DefaultHighLowDataset.java,org.jfree.data.xy.DefaultHighLowDataset,class,4,0.8195489,1,,0,
\jfreechart\src\main\java\org\jfree\chart\entity\XYAnnotationEntity.java,org.jfree.chart.entity.XYAnnotationEntity,class,2,0.5,1,,0,
\jfreechart\src\test\java\org\jfree\data\category\SlidingCategoryDatasetTest.java,org.jfree.data.category.SlidingCategoryDatasetTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\data\DataUtilsTest.java,org.jfree.data.DataUtilsTest,class,1,0.2857143,1,,0,
\jfreechart\src\main\java\org\jfree\chart\swing\MouseWheelHandler.java,org.jfree.chart.swing.MouseWheelHandler,class,1,0.3,1,,0,
\jfreechart\src\main\java\org\jfree\chart\text\TextBlock.java,org.jfree.chart.text.TextBlock,class,1,0.7142857,1,,0,
\jfreechart\src\test\java\org\jfree\data\xy\MatrixSeriesTest.java,org.jfree.data.xy.MatrixSeriesTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\block\Size2D.java,org.jfree.chart.block.Size2D,class,1,0.59999996,1,,0,
\jfreechart\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,org.jfree.chart.annotations.XYAnnotation,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\xy\DefaultWindDataset.java,org.jfree.data.xy.WindDataItem,class,1,0.44444445,1,,0,
\jfreechart\src\test\java\org\jfree\chart\title\TextTitleTest.java,org.jfree.chart.title.TextTitleTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\CyclicXYItemRenderer.java,org.jfree.chart.renderer.xy.CyclicXYItemRenderer,class,4,1,1,,0,
\jfreechart\src\main\java\org\jfree\chart\util\ShadowGenerator.java,org.jfree.chart.util.ShadowGenerator,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\statistics\Regression.java,org.jfree.data.statistics.Regression,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\util\DirectionalGradientPaintTransformer.java,org.jfree.chart.util.DirectionalGradientPaintTransformer,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java,org.jfree.chart.axis.StandardTickUnitSourceTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\entity\CategoryItemEntityTest.java,org.jfree.chart.entity.CategoryItemEntityTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\data\xy\XYIntervalSeriesCollectionTest.java,org.jfree.data.xy.XYIntervalSeriesCollectionTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\block\ColorBlockTest.java,org.jfree.chart.block.ColorBlockTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\event\RendererChangeListener.java,org.jfree.chart.event.RendererChangeListener,interface,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\PieChartTest.java,org.jfree.chart.PieChartTest$LocalListener,innerclass,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\data\xy\DefaultXYDatasetTest.java,org.jfree.data.xy.DefaultXYDatasetTest,class,1,0.75,1,,0,
\jfreechart\src\main\java\org\jfree\chart\labels\StandardCategoryToolTipGenerator.java,org.jfree.chart.labels.StandardCategoryToolTipGenerator,class,2,0.9166666,1,,0,
\jfreechart\src\main\java\org\jfree\chart\title\CompositeTitle.java,org.jfree.chart.title.CompositeTitle,class,3,0.6666667,1,,0,
\jfreechart\src\test\java\org\jfree\chart\labels\StandardCategoryItemLabelGeneratorTest.java,org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\axis\ValueAxisTest.java,org.jfree.chart.axis.ValueAxisTest,class,1,0.75,1,,0,
\jfreechart\src\main\java\org\jfree\chart\encoders\ImageFormat.java,org.jfree.chart.encoders.ImageFormat,interface,1,NaN,1,,0,
\jfreechart\src\main\java\org\jfree\data\xml\ValueHandler.java,org.jfree.data.xml.ValueHandler,class,2,0.5,1,,0,
\jfreechart\src\test\java\org\jfree\chart\entity\StandardEntityCollectionTest.java,org.jfree.chart.entity.StandardEntityCollectionTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\renderer\category\LevelRendererTest.java,org.jfree.chart.renderer.category.LevelRendererTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\renderer\category\MinMaxCategoryRendererTest.java,org.jfree.chart.renderer.category.MinMaxCategoryRendererTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\text\format\HMSNumberFormat.java,org.jfree.chart.text.format.HMSNumberFormat,class,3,0.75,1,,0,
\jfreechart\src\test\java\org\jfree\chart\renderer\xy\XYDotRendererTest.java,org.jfree.chart.renderer.xy.XYDotRendererTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\xy\XYZDataset.java,org.jfree.data.xy.XYZDataset,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\AreaRendererEndType.java,org.jfree.chart.renderer.AreaRendererEndType,enum,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\data\time\ohlc\OHLCSeriesTest.java,org.jfree.data.time.ohlc.OHLCSeriesTest,class,1,0.8333333,1,,0,
\jfreechart\src\main\java\org\jfree\data\gantt\TaskSeries.java,org.jfree.data.gantt.TaskSeries,class,2,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\event\TitleChangeEvent.java,org.jfree.chart.event.TitleChangeEvent,class,2,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources_fr.java,org.jfree.data.resources.DataPackageResources_fr,class,3,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\WaterfallBarRenderer.java,org.jfree.chart.renderer.category.WaterfallBarRenderer,class,4,0.68,1,,0,
\jfreechart\src\main\java\org\jfree\chart\block\EmptyBlock.java,org.jfree.chart.block.EmptyBlock,class,2,1,1,,0,
\jfreechart\src\main\java\org\jfree\chart\api\Rotation.java,org.jfree.chart.api.Rotation,enum,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\event\ChartChangeEventType.java,org.jfree.chart.event.ChartChangeEventType,enum,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\plot\MeterPlotTest.java,org.jfree.chart.plot.MeterPlotTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\api\TableOrder.java,org.jfree.chart.api.TableOrder,enum,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\data\xy\XIntervalSeriesTest.java,org.jfree.data.xy.XIntervalSeriesTest,class,1,0.67857146,1,,0,
\jfreechart\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,org.jfree.chart.axis.ExtendedCategoryAxis,class,3,0.6136364,1,,0,
\jfreechart\src\main\java\org\jfree\data\xy\YisSymbolic.java,org.jfree.data.xy.YisSymbolic,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources_es.java,org.jfree.data.resources.DataPackageResources_es,class,3,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\plot\dial\StandardDialScaleTest.java,org.jfree.chart.plot.dial.StandardDialScaleTest,class,1,0.5,1,,0,
\jfreechart\src\test\java\org\jfree\chart\renderer\xy\XYStepAreaRendererTest.java,org.jfree.chart.renderer.xy.XYStepAreaRendererTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,org.jfree.chart.annotations.AbstractAnnotation,class,1,0.54545456,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\LineAndShapeRenderer.java,org.jfree.chart.renderer.category.LineAndShapeRenderer,class,3,0.8666666,1,,0,
\jfreechart\src\main\java\org\jfree\data\general\DefaultKeyedValueDataset.java,org.jfree.data.general.DefaultKeyedValueDataset,class,2,0.65,1,,0,
\jfreechart\src\main\java\org\jfree\chart\labels\CategoryItemLabelGenerator.java,org.jfree.chart.labels.CategoryItemLabelGenerator,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultTitleEditor.java,org.jfree.chart.swing.editor.DefaultTitleEditor,class,5,0.73333335,0,,0,
\jfreechart\src\main\java\org\jfree\data\KeyedValueComparator.java,org.jfree.data.KeyedValueComparator,class,1,0.25,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\StackedXYAreaRenderer.java,org.jfree.chart.renderer.xy.StackedXYAreaRenderer$StackedXYAreaRendererState,innerclass,3,0.65625,1,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\FastScatterPlotTest.java,org.jfree.chart.plot.FastScatterPlotTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\renderer\category\IntervalBarRendererTest.java,org.jfree.chart.renderer.category.IntervalBarRendererTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\plot\dial\StandardDialFrame.java,org.jfree.chart.plot.dial.StandardDialFrame,class,2,0.63529414,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\GanttRenderer.java,org.jfree.chart.renderer.category.GanttRenderer,class,5,0.75,0,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\StackedBarRenderer.java,org.jfree.chart.renderer.category.StackedBarRenderer,class,4,0.6666667,1,,0,
\jfreechart\src\main\java\org\jfree\chart\plot\SeriesRenderingOrder.java,org.jfree.chart.plot.SeriesRenderingOrder,enum,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\event\AnnotationChangeEvent.java,org.jfree.chart.event.AnnotationChangeEvent,class,2,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\urls\StandardXYZURLGenerator.java,org.jfree.chart.urls.StandardXYZURLGenerator,class,2,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\labels\BubbleXYItemLabelGeneratorTest.java,org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\util\ExportUtils.java,org.jfree.chart.util.ExportUtils,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\axis\CategoryLabelWidthTypeTest.java,org.jfree.chart.axis.CategoryLabelWidthTypeTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\plot\pie\AbstractPieLabelDistributor.java,org.jfree.chart.plot.pie.AbstractPieLabelDistributor,class,1,0.16666667,1,,1,
\jfreechart\src\main\java\org\jfree\chart\swing\OverlayChangeListener.java,org.jfree.chart.swing.OverlayChangeListener,interface,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\renderer\xy\XYDifferenceRendererTest.java,org.jfree.chart.renderer.xy.XYDifferenceRendererTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\CategoryStepRenderer.java,org.jfree.chart.renderer.category.CategoryStepRenderer$State,innerclass,3,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\ChartEditor.java,org.jfree.chart.swing.editor.ChartEditor,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\xy\DefaultWindDataset.java,org.jfree.data.xy.DefaultWindDataset,class,4,0.53846157,1,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\compass\CompassPlotTest.java,org.jfree.chart.plot.compass.CompassPlotTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\renderer\OutlierTest.java,org.jfree.chart.renderer.OutlierTest,class,1,0.75,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\SamplingXYLineRenderer.java,org.jfree.chart.renderer.xy.SamplingXYLineRenderer$State,innerclass,3,0.8333333,1,,0,
\jfreechart\src\test\java\org\jfree\chart\annotations\XYTextAnnotationTest.java,org.jfree.chart.annotations.XYTextAnnotationTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\CategoryItemRendererState.java,org.jfree.chart.renderer.category.CategoryItemRendererState,class,2,0.7272727,1,,0,
\jfreechart\src\test\java\org\jfree\chart\renderer\xy\StackedXYAreaRenderer2Test.java,org.jfree.chart.renderer.xy.StackedXYAreaRenderer2Test,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\category\DefaultCategoryItemRenderer.java,org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,class,4,NaN,1,,0,
\jfreechart\src\test\java\org\jfree\data\xy\DefaultOHLCDatasetTest.java,org.jfree.data.xy.DefaultOHLCDatasetTest,class,1,0.8333333,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\CyclicXYItemRenderer.java,org.jfree.chart.renderer.xy.CyclicXYItemRenderer$OverwriteDataSet,innerclass,1,0.75,1,,0,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\ChartEditorManager.java,org.jfree.chart.swing.editor.ChartEditorManager,class,1,0.25,1,,0,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\StrokeChooserPanel.java,org.jfree.chart.swing.editor.StrokeChooserPanel,class,5,0,0,,1,
\jfreechart\src\main\java\org\jfree\data\statistics\HistogramBin.java,org.jfree.data.statistics.HistogramBin,class,1,0.5833333,1,,0,
\jfreechart\src\main\java\org\jfree\chart\axis\ValueAxis.java,org.jfree.chart.axis.ValueAxis,class,2,0.94692457,1,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\compass\WindNeedleTest.java,org.jfree.chart.plot.compass.WindNeedleTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\entity\FlowEntityTest.java,org.jfree.chart.entity.FlowEntityTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\plot\pie\PiePlot.java,org.jfree.chart.plot.pie.PiePlot,class,2,0.9552664,1,,0,
\jfreechart\src\main\java\org\jfree\data\time\TimePeriodAnchor.java,org.jfree.data.time.TimePeriodAnchor,enum,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\Value.java,org.jfree.data.Value,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\gantt\Task.java,org.jfree.data.gantt.Task,class,1,0.7125,1,,0,
\jfreechart\src\main\java\org\jfree\chart\block\BlockFrame.java,org.jfree.chart.block.BlockFrame,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\plot\compass\WindNeedle.java,org.jfree.chart.plot.compass.WindNeedle,class,3,1,1,,0,
\jfreechart\src\main\java\org\jfree\data\general\DefaultValueDataset.java,org.jfree.data.general.DefaultValueDataset,class,2,0.5714286,1,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialPointerTest.java,org.jfree.chart.plot.dial.DialPointerTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\xy\VectorSeriesCollection.java,org.jfree.data.xy.VectorSeriesCollection,class,4,0.22222222,1,,0,
\jfreechart\src\main\java\org\jfree\chart\ChartTheme.java,org.jfree.chart.ChartTheme,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\AbstractXYItemRenderer.java,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,class,2,0.88117284,1,,0,
\jfreechart\src\test\java\org\jfree\data\function\LineFunction2DTest.java,org.jfree.data.function.LineFunction2DTest,class,1,0.75,1,,0,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\PaintSample.java,org.jfree.chart.swing.editor.PaintSample,class,4,0.4,1,,0,
\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources_ru.java,org.jfree.data.resources.DataPackageResources_ru,class,3,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\ScatterPlotTest.java,org.jfree.chart.ScatterPlotTest,class,1,0.2,1,,0,
\jfreechart\src\test\java\org\jfree\chart\XYStepChartTest.java,org.jfree.chart.XYStepChartTest$LocalListener,innerclass,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\block\ColorBlock.java,org.jfree.chart.block.ColorBlock,class,2,0.6111111,1,,0,
\jfreechart\src\main\java\org\jfree\data\DomainOrder.java,org.jfree.data.DomainOrder,enum,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\AbstractRenderer.java,org.jfree.chart.renderer.AbstractRenderer,class,1,0.96844286,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYStepRenderer.java,org.jfree.chart.renderer.xy.XYStepRenderer,class,4,0.7777778,1,,0,
\jfreechart\src\main\java\org\jfree\chart\plot\RingPlot.java,org.jfree.chart.plot.RingPlot,class,3,0.83611107,1,,0,
\jfreechart\src\test\java\org\jfree\chart\StandardChartThemeTest.java,org.jfree.chart.StandardChartThemeTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\axis\CategoryAxisTest.java,org.jfree.chart.axis.CategoryAxisTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\ChartHints.java,org.jfree.chart.ChartHints$Key,innerclass,2,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\block\RectangleConstraint.java,org.jfree.chart.block.RectangleConstraint,class,1,0.6165413,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\DefaultPolarItemRenderer.java,org.jfree.chart.renderer.DefaultPolarItemRenderer,class,2,0.8522266,1,,0,
\jfreechart\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,org.jfree.chart.axis.DateTickMarkPosition,enum,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\block\LineBorder.java,org.jfree.chart.block.LineBorder,class,1,0.6111111,1,,0,
\jfreechart\src\main\java\org\jfree\chart\urls\StandardPieURLGenerator.java,org.jfree.chart.urls.StandardPieURLGenerator,class,1,0.5,1,,0,
\jfreechart\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java,org.jfree.chart.axis.QuarterDateFormat,class,3,0.8333333,1,,0,
\jfreechart\src\main\java\org\jfree\data\DefaultKeyedValues2D.java,org.jfree.data.DefaultKeyedValues2D,class,1,0.67826086,1,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialTextAnnotationTest.java,org.jfree.chart.plot.dial.DialTextAnnotationTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\xy\DefaultOHLCDataset.java,org.jfree.data.xy.DefaultOHLCDataset,class,4,0.625,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\StandardXYItemRenderer.java,org.jfree.chart.renderer.xy.StandardXYItemRenderer$State,innerclass,3,0.73333335,1,,0,
\jfreechart\src\main\java\org\jfree\chart\legend\LegendItemBlockContainer.java,org.jfree.chart.legend.LegendItemBlockContainer,class,3,0.7962963,1,,0,
\jfreechart\src\main\java\org\jfree\chart\plot\CombinedDomainXYPlot.java,org.jfree.chart.plot.CombinedDomainXYPlot,class,3,0.7741936,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\SamplingXYLineRenderer.java,org.jfree.chart.renderer.xy.SamplingXYLineRenderer,class,5,0.375,0,,0,
\jfreechart\src\test\java\org\jfree\data\flow\NodeKeyTest.java,org.jfree.data.flow.NodeKeyTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\general\SeriesDataset.java,org.jfree.data.general.SeriesDataset,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\xy\XYDataset.java,org.jfree.data.xy.XYDataset,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\block\Arrangement.java,org.jfree.chart.block.Arrangement,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\event\AxisChangeEvent.java,org.jfree.chart.event.AxisChangeEvent,class,2,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\TestUtils.java,org.jfree.chart.TestUtils,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYErrorRenderer.java,org.jfree.chart.renderer.xy.XYErrorRenderer,class,4,0.7156863,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\StackedXYAreaRenderer.java,org.jfree.chart.renderer.xy.StackedXYAreaRenderer,class,6,0.7916667,0,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\CombinedDomainCategoryPlotTest.java,org.jfree.chart.plot.CombinedDomainCategoryPlotTest,class,1,0.7777778,1,,0,
\jfreechart\src\main\java\org\jfree\chart\plot\PlotRenderingInfo.java,org.jfree.chart.plot.PlotRenderingInfo,class,1,0.68,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\CandlestickRenderer.java,org.jfree.chart.renderer.xy.CandlestickRenderer,class,3,0.86875004,1,,0,
\jfreechart\src\test\java\org\jfree\chart\block\FlowArrangementTest.java,org.jfree.chart.block.FlowArrangementTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\LCBLayout.java,org.jfree.chart.swing.editor.LCBLayout,class,1,0.5714286,1,,0,
\jfreechart\src\test\java\org\jfree\data\xy\DefaultXYZDatasetTest.java,org.jfree.data.xy.DefaultXYZDatasetTest,class,1,0.75,1,,0,
\jfreechart\src\main\java\org\jfree\chart\entity\TickLabelEntity.java,org.jfree.chart.entity.TickLabelEntity,class,2,1,1,,0,
\jfreechart\src\main\java\org\jfree\data\time\TimeSeries.java,org.jfree.data.time.TimeSeries,class,2,0.82010585,1,,0,
\jfreechart\src\main\java\org\jfree\chart\text\format\HexNumberFormat.java,org.jfree.chart.text.format.HexNumberFormat,class,3,0.8571428,1,,0,
